Country/Region,Ø Growth/year,Growth 2013-2022
Equatorial Guinea,5.08%,55.60%
Niger,3.95%,41.63%
Democratic Republic of the Congo,3.68%,38.75%
Gambia,3.60%,37.80%
Angola,3.55%,36.80%
Mali,3.53%,37.35%
Iraq,3.41%,34.20%
Jordan,3.40%,32.48%
Burundi,3.40%,35.11%
Tanzania,3.36%,35.09%
Chad,3.32%,34.06%
Zambia,3.30%,34.11%
Somalia,3.30%,34.71%
Yemen,3.28%,34.00%
Benin,3.22%,33.47%
Burkina Faso,3.19%,32.81%
Uganda,3.18%,32.37%
Gabon,3.18%,31.47%
Ethiopia,2.90%,29.35%
Afghanistan,2.82%,27.45%
Nigeria,2.71%,27.23%
Cameroon,2.65%,26.44%
Sudan,2.62%,26.44%
Egypt,2.55%,25.55%
Pakistan,2.35%,23.30%
Saudi Arabia,2.26%,21.15%
Qatar,2.13%,15.34%
Macao *,2.12%,20.40%
Luxembourg,2.06%,19.77%
Israel,1.90%,18.50%
Algeria,1.85%,17.73%
Philippines,1.74%,16.88%
East Timor,1.70%,16.30%
Iran,1.61%,15.78%
Malaysia,1.56%,15.17%
Ecuador,1.52%,14.60%
New Zealand,1.52%,15.35%
Turkey,1.35%,12.40%
Australia,1.34%,12.33%
Cambodia,1.27%,11.59%
South Africa,1.26%,11.56%
Bangladesh,1.26%,12.06%
Nepal,1.25%,13.49%
Colombia,1.19%,11.57%
Canada,1.15%,10.97%
India,1.10%,10.64%
Indonesia,1.04%,9.41%
Argentina,1.03%,9.55%
Ireland,1.01%,10.02%
Sweden,0.97%,9.23%
Switzerland,0.93%,8.41%
Vietnam,0.90%,8.19%
Norway,0.84%,7.43%
Mexico,0.84%,7.30%
Sri Lanka,0.83%,7.75%
Brazil,0.78%,7.10%
Austria,0.70%,6.64%
Singapore,0.61%,4.41%
United States of America,0.60%,5.45%
Thailand,0.56%,5.21%
Netherlands,0.55%,5.35%
Denmark,0.54%,5.13%
Myanmar,0.53%,4.49%
United Kingdom,0.50%,4.43%
Belgium,0.50%,4.57%
Germany,0.45%,4.26%
China,0.38%,3.56%
France,0.34%,2.93%
United Arab Emirates,0.33%,2.64%
South Korea,0.28%,2.38%
Hong Kong *,0.27%,2.33%
Finland,0.26%,2.17%
Spain,0.18%,2.13%
Russia,0.02%,0.03%
Principality of Monaco,0.01%,-1.17%
Italy,-0.11%,-2.29%
Portugal,-0.13%,-0.75%
Poland,-0.13%,-1.26%
Bermuda *,-0.20%,-2.26%
Japan,-0.20%,-1.82%
Hungary,-0.24%,-2.12%
Venezuela,-0.36%,-4.97%
Armenia,-0.36%,-4.04%
Saint Vincent and the Grenadines,-0.42%,-4.30%
Saint Kitts and Nevis,-0.44%,-5.31%
Albania,-0.44%,-4.13%
Greece,-0.44%,-3.64%
Lithuania,-0.53%,-4.22%
Romania,-0.56%,-5.14%
Serbia,-0.63%,-5.64%
Latvia,-0.77%,-6.42%
Northern Mariana Islands *,-0.89%,-9.56%
Moldova,-0.97%,-9.31%
Croatia,-1.01%,-9.44%
Bosnia and Herzegovina,-1.08%,-8.72%
Puerto Rico *,-1.18%,-10.33%
Bulgaria,-1.20%,-11.01%
Saint Martin *,-1.51%,-12.80%
Ukraine,-1.72%,-16.46%
American Samoa *,-2.24%,-20.54%
Marshall Islands,-2.98%,-26.99%
